occurrence_id,context_id,selected_word,source_file,sentence_index,match_index_in_sentence,target_text,target_start,target_end,previous_sentence,sentence_text,next_sentence,context,context_word_count
4340,A15069:704,trade,A15069.txt,704,1,trade,288,293,"and that from thence, any ship being off from that Coast twelue Leagues, and sailing North, North-East, may run on, till they come to the North-ward of 70.","degrees, and no land to hinder him, neither from thence any land found, in that altitude, directly East vnto Greene∣land, where the trade is for killing of Whales, which is aboue 400.",leagues distance from that course:,"and that from thence, any ship being off from that Coast twelue Leagues, and sailing North, North-East, may run on, till they come to the North-ward of 70. degrees, and no land to hinder him, neither from thence any land found, in that altitude, directly East vnto Greene∣land, where the trade is for killing of Whales, which is aboue 400. leagues distance from that course:",65
4521,A16264:359,trade,A16264.txt,359,1,trade,149,154,"And I haue vnder∣hand aided and supported that Prince my friend, whom I openly professed to hate and persecute:","and haue prospe∣rously practised the trade, at once to laugh and to deceiue, with those who make publike ostentation to bee the cano∣nicall Doctors of that Art.","And with so vertuous a deceit haue I reduced the affaires of Epirus (whilome so imbroiled, as they were generally held desperate) vnto the state the world seeth.","And I haue vnder∣hand aided and supported that Prince my friend, whom I openly professed to hate and persecute: and haue prospe∣rously practised the trade, at once to laugh and to deceiue, with those who make publike ostentation to bee the cano∣nicall Doctors of that Art. And with so vertuous a deceit haue I reduced the affaires of Epirus (whilome so imbroiled, as they were generally held desperate) vnto the state the world seeth.",74
4829,A17832:18587,trade,A17832.txt,18587,1,trade,264,269,"Howbeit, the Towne is well enough peopled with Inhabitants, who have their Cattaile a great way from the Towne, and when they are to milke them, they goe in little punts or boats that will carry but two a peece, (which they call Skerries:",") yet the most gain∣full trade they have is by taking fish, and catching of water-foule;","and that is so great, that in the moneth of August, they will spread a net and at once draw three thousand Mallards and wilde Duckes and such like together:","Howbeit, the Towne is well enough peopled with Inhabitants, who have their Cattaile a great way from the Towne, and when they are to milke them, they goe in little punts or boats that will carry but two a peece, (which they call Skerries: ) yet the most gain∣full trade they have is by taking fish, and catching of water-foule; and that is so great, that in the moneth of August, they will spread a net and at once draw three thousand Mallards and wilde Duckes and such like together:",90
5242,A68617:12428,trade,A68617.txt,12428,1,trade,587,592,both the town and roade yet who will avoid it may ride in nine fathom water without their command or within their command from nine fathom downward also a little distance to the northwards of the foresay rock be another rock be low almost even with the water which be of small compass whereon be a fort build and well furnish with ordnance the soldier usual continue in this garrison of aden I can never understand but according as occasion,be they be draw down from other inland town the low country adjoin within it do supply it with provision and partly with their dark which pass in trade from aden to Barbora a town right over on the Abexin side from whence they bring cattle and much fruit and provision with myrrh and incense and what else I must conceal till f^rther information get a secret the latitude of aden 2.,degr.,both the town and roade yet who will avoid it may ride in nine fathom water without their command or within their command from nine fathom downward also a little distance to the northwards of the foresay rock be another rock be low almost even with the water which be of small compass whereon be a fort build and well furnish with ordnance the soldier usual continue in this garrison of aden I can never understand but according as occasion be they be draw down from other inland town the low country adjoin within it do supply it with provision and partly with their dark which pass in trade from aden to Barbora a town right over on the Abexin side from whence they bring cattle and much fruit and provision with myrrh and incense and what else I must conceal till f^rther information get a secret the latitude of aden 2. degr.,153
5776,A68617:18955,trade,A68617.txt,18955,1,trade,556,561,wont to be employ into the straits and yet the say trade to the east indies be find very unprofitable to the adventurer neither do the commonwealth find any benefit by the cheapness of spice and indigo more than in time past the answer why what a world of mischief have we here first dearth second mortality three destruction four beggary five and never a whit the near a very team of calamity draw on to misery be it not,then high time to seek a remedy yes very and it will be easy do because these evil never be as yet at least procure by the east India trade as I shall show by answer all the part in order as they stand and first of dearth it be both natural and just that every kingdom state or commonwealth shall feed and cherish up the native people of all degree and condition whatsoever the first part concern dearth to,their preservation of life and health with such mean and moderation as their plenty shall afford and this be not only due to they in the time of their abode at home but also upon all occasion of voyage into other country beyond the sea wherein they shall be employ for their own maintenance and for the good of the commonwealth now therefore concern the povision of victual which in this kingdom be yearly prepare for the set forth of,wont to be employ into the straits and yet the say trade to the east indies be find very unprofitable to the adventurer neither do the commonwealth find any benefit by the cheapness of spice and indigo more than in time past the answer why what a world of mischief have we here first dearth second mortality three destruction four beggary five and never a whit the near a very team of calamity draw on to misery be it not then high time to seek a remedy yes very and it will be easy do because these evil never be as yet at least procure by the east India trade as I shall show by answer all the part in order as they stand and first of dearth it be both natural and just that every kingdom state or commonwealth shall feed and cherish up the native people of all degree and condition whatsoever the first part concern dearth to their preservation of life and health with such mean and moderation as their plenty shall afford and this be not only due to they in the time of their abode at home but also upon all occasion of voyage into other country beyond the sea wherein they shall be employ for their own maintenance and for the good of the commonwealth now therefore concern the povision of victual which in this kingdom be yearly prepare for the set forth of,240
6062,A71305:8414,trade,A71305.txt,8414,1,trade,555,560,so much as water neither admit they their suck babe save those that faint to who they give a few fig and a little water the nineteen the inhabitant of Pustozer that go into jugoria return from thence have have but a hard voyage by reason of the war which the samoy have among themselves so that they dare not go into Molgomsey where they catch the most part of the sable which come into Russia the three and twenty,come the Carratchey which be the chief of the samoyed but they have no commodity to speak of by reason of the war so that they neither dare trade with the samoyed of Molgomsey neither hunt for the sable themselves which at other time they be wont to do the thirty I have the chief Carratchey his son his son son and his brother son at dinner and have some conference with he who tell i that they have see,ship in the vaygat two year one after another but they dare not be see of they but flee from they for the Russ tell they that they will kill they Russ fraud or carry they away prisoner yet they seem to be glad of our come when they see our behaviour and the entertainment that they have of we nevertheless they be very timorous and unreasonable covetous as by more acquaintance I perceive by they the second of February,so much as water neither admit they their suck babe save those that faint to who they give a few fig and a little water the nineteen the inhabitant of Pustozer that go into jugoria return from thence have have but a hard voyage by reason of the war which the samoy have among themselves so that they dare not go into Molgomsey where they catch the most part of the sable which come into Russia the three and twenty come the Carratchey which be the chief of the samoyed but they have no commodity to speak of by reason of the war so that they neither dare trade with the samoyed of Molgomsey neither hunt for the sable themselves which at other time they be wont to do the thirty I have the chief Carratchey his son his son son and his brother son at dinner and have some conference with he who tell i that they have see ship in the vaygat two year one after another but they dare not be see of they but flee from they for the Russ tell they that they will kill they Russ fraud or carry they away prisoner yet they seem to be glad of our come when they see our behaviour and the entertainment that they have of we nevertheless they be very timorous and unreasonable covetous as by more acquaintance I perceive by they the second of February,240
6187,A71306:3810,trade,A71306.txt,3810,1,trade,720,725,till we be past Lyma otherwise call reyes for that good to avoid discovery it be enter by the Spaniard the day of the three king but my company urge i so far that except I shall seem in all thing to overbear they in not condescend to that which in the opinion of all but myself seem profitable and best I can not but yield unto though it carry a false colour as the end prove for it be,our perdition this all my company know to be true whereof some be yet live and can give testimony but the mariner be ordinary so carry away with the desire of pillage as sometime for wilfulness of mariner very appearance of small moment he lose his voyage and many time himself and so the greediness of spoil only hope for in ship of trade which go too and fro in this coast blind they from forecast the peril whereinto we,expose our voyage in discover ourselves before we pass the coast of callao which be the port of Lyma to be short we hale the coast aboard and that evening we discover the port of Valparizo which serve the city of saint jago stand some twenty league into the country when present we descry four ship at a anchor whereupon we man and arm our boat which row towards the ship they see we turn in and fear they seize,till we be past Lyma otherwise call reyes for that good to avoid discovery it be enter by the Spaniard the day of the three king but my company urge i so far that except I shall seem in all thing to overbear they in not condescend to that which in the opinion of all but myself seem profitable and best I can not but yield unto though it carry a false colour as the end prove for it be our perdition this all my company know to be true whereof some be yet live and can give testimony but the mariner be ordinary so carry away with the desire of pillage as sometime for wilfulness of mariner very appearance of small moment he lose his voyage and many time himself and so the greediness of spoil only hope for in ship of trade which go too and fro in this coast blind they from forecast the peril whereinto we expose our voyage in discover ourselves before we pass the coast of callao which be the port of Lyma to be short we hale the coast aboard and that evening we discover the port of Valparizo which serve the city of saint jago stand some twenty league into the country when present we descry four ship at a anchor whereupon we man and arm our boat which row towards the ship they see we turn in and fear they seize,240
6202,A71306:4393,trade,A71306.txt,4393,1,trade,448,453,deny to have make there but such as come from Spain because of his custom notwithstanding the king do allow they to plant vineyard for to eat of the grape this land be great commend not for that above mention nor yet for the gold and silver mynes that it have but for the great number of port for ship it have in the south sea where they make many great ship with the which ship they have traffic with,they of Peru and Parawna and then they have a trade to the and to the land of Moluccas and China so that the commodity which the Portugal carry for Portugal out of the east indies be likewise bring to the city of Mexico by reason of their ship although not in so great quantity as they carry for Lisbon not for that they of Mexico either want ship or ability but because the spaniard will conquer it with the,sword as he have do other land and not by the way of traffic as the Portugal do the principal port from whence this merchandise do come be call aguatorke in the coast of China on the north side Aguatorke after the conquest of this kingdom of Mexico the order how the Spaniard do divide this land be this the principal city they refine to the king of Spain and to the general of this conquest who be renown Ferdinando,deny to have make there but such as come from Spain because of his custom notwithstanding the king do allow they to plant vineyard for to eat of the grape this land be great commend not for that above mention nor yet for the gold and silver mynes that it have but for the great number of port for ship it have in the south sea where they make many great ship with the which ship they have traffic with they of Peru and Parawna and then they have a trade to the and to the land of Moluccas and China so that the commodity which the Portugal carry for Portugal out of the east indies be likewise bring to the city of Mexico by reason of their ship although not in so great quantity as they carry for Lisbon not for that they of Mexico either want ship or ability but because the spaniard will conquer it with the sword as he have do other land and not by the way of traffic as the Portugal do the principal port from whence this merchandise do come be call aguatorke in the coast of China on the north side Aguatorke after the conquest of this kingdom of Mexico the order how the Spaniard do divide this land be this the principal city they refine to the king of Spain and to the general of this conquest who be renown Ferdinando,240
6318,A71306:10441,trade,A71306.txt,10441,1,trade,209,214,Tucker there about mid-may 1616.,who likewise govern according to the custom three year which time he spend for the most part in husbandr the country plant and nourish all such thing as be find fit either for trade or for the sustentation and use of the inhabitant wherein he travel with much diligence and good success send to some part of the indies for plant and fruit he also ad^ed to the fortification and make some enclosure in his time viz.,in the year 1617.,Tucker there about mid-may 1616. who likewise govern according to the custom three year which time he spend for the most part in husbandr the country plant and nourish all such thing as be find fit either for trade or for the sustentation and use of the inhabitant wherein he travel with much diligence and good success send to some part of the indies for plant and fruit he also ad^ed to the fortification and make some enclosure in his time viz. in the year 1617.,86
6353,A71306:11163,trade,A71306.txt,11163,1,trade,693,698,that time ruin and disperse so far as he see it in vain to hope for help by that mean and therefore attempt to make the best of what he have of his own and go to set his man a work they all in few day after their arrival fall sick of a disease which happen at that time in the country so as now he be not only force to be without hope of their help of he,but must labour himself all he can to attend and sustain they but so God favour he that they recover and in time convenient he dispatch his business there and put himself to sea again resolve to accomplish in his journey back to New-england what in his last discovery he have omit in his passage he meet with certain hollander who have a trade in hudsons river some year before that time with who hollander in hudsons river he have,conference about the state of that coast and their proceed with those people who answer give he good content he betake himself to the follow of his business discover darmers discovery many goodly river and exceed pleasant and fruitful coast and land for the space of eighty league from east to west for so that coast do range along from hudsons river to cape James now after we have find by captain rocrafts relation make the year before the hope,that time ruin and disperse so far as he see it in vain to hope for help by that mean and therefore attempt to make the best of what he have of his own and go to set his man a work they all in few day after their arrival fall sick of a disease which happen at that time in the country so as now he be not only force to be without hope of their help of he but must labour himself all he can to attend and sustain they but so God favour he that they recover and in time convenient he dispatch his business there and put himself to sea again resolve to accomplish in his journey back to New-england what in his last discovery he have omit in his passage he meet with certain hollander who have a trade in hudsons river some year before that time with who hollander in hudsons river he have conference about the state of that coast and their proceed with those people who answer give he good content he betake himself to the follow of his business discover darmers discovery many goodly river and exceed pleasant and fruitful coast and land for the space of eighty league from east to west for so that coast do range along from hudsons river to cape James now after we have find by captain rocrafts relation make the year before the hope,240
6506,A71307:10195,trade,A71307.txt,10195,1,trade,755,760,from Casbin we set forward to the great and populous city of Hispaan lodge every night either in a persian village or in a fair Cain build of stone where we find all kind of provision necessary for ourselves and beast travel six or seven in a company company sufficient by reason of the great peace and tranquillity which the Persian live in above the turk and so have spend six day we arrive at com a very ancient city,this city be call by Ptolemy the city Com once twice as big as Constantinople Guriana and be so great in time past that the inhabitant affirm unto we that when it be in his flourish estate it be twice as big as Constantinople but it be much rvinate by Tamerlane and ever since have lie in the dust without repair cassan carry away the trade of merchandise from she which be once the mistresseand lady thereof it be well,seat for water and all other necessary have a spacious river run by it with a stone bridge over the same the which we no soon pass but we enter into the bound of Parthia a kingdom once famous but now so mingle with Persia that the very name of Parthia be quite extinguish among they @.,from Casbin we set forward to the great and populous city of Hispaan lodge every night either in a persian village or in a fair Cain build of stone where we find all kind of provision necessary for ourselves and beast travel six or seven in a company company sufficient by reason of the great peace and tranquillity which the Persian live in above the turk and so have spend six day we arrive at com a very ancient city this city be call by Ptolemy the city Com once twice as big as Constantinople Guriana and be so great in time past that the inhabitant affirm unto we that when it be in his flourish estate it be twice as big as Constantinople but it be much rvinate by Tamerlane and ever since have lie in the dust without repair cassan carry away the trade of merchandise from she which be once the mistresseand lady thereof it be well seat for water and all other necessary have a spacious river run by it with a stone bridge over the same the which we no soon pass but we enter into the bound of Parthia a kingdom once famous but now so mingle with Persia that the very name of Parthia be quite extinguish among they @.,217
6705,B14801__Free_Trade:808,trade,B14801__Free_Trade.txt,808,1,Trade,122,127,It is now easie to shew the Iniury and Inconuenience to this Common-wealth by the want of Gouernment in Trade.,"Those that Trade without Order and Gouernment, are like vnto men, that make Holes in the bottome of that Ship, wherein themselues are Passengers.","For want of Gouernment in Trade, openeth a gap and letteth in all sorts of vnskilfull and disorderly persons:","It is now easie to shew the Iniury and Inconuenience to this Common-wealth by the want of Gouernment in Trade. Those that Trade without Order and Gouernment, are like vnto men, that make Holes in the bottome of that Ship, wherein themselues are Passengers. For want of Gouernment in Trade, openeth a gap and letteth in all sorts of vnskilfull and disorderly persons:",63
6946,Wealth_Nations:13163,trade,Wealth_Nations.txt,13163,1,trade,140,145,"banking companies accept of repayment are, so far as I know, peculiar to","them, and have perhaps been the principal cause, both of the great trade","of those companies, and of the benefit which the country has received from","banking companies accept of repayment are, so far as I know, peculiar to them, and have perhaps been the principal cause, both of the great trade of those companies, and of the benefit which the country has received from",39
7195,Wealth_Nations:21977,trade,Wealth_Nations.txt,21977,1,trade,106,111,"has not frequently been foretold by the pretended doctors of this system,",from all unfavorably balance of trade.,"After all the anxiety, however,","has not frequently been foretold by the pretended doctors of this system, from all unfavorably balance of trade. After all the anxiety, however,",23
7238,Wealth_Nations:23357,trade,Wealth_Nations.txt,23357,1,trade,38,43,trade requires it so much;,because no trade is so much exposed to popular,odium.,trade requires it so much; because no trade is so much exposed to popular odium.,15
7529,Wealth_Nations:28620,trade,Wealth_Nations.txt,28620,1,trade,75,80,"of the most important branches, not only of the foreign, but of the inland",trade of the country.,"Had they been allowed to go on, it is impossible","of the most important branches, not only of the foreign, but of the inland trade of the country. Had they been allowed to go on, it is impossible",28
